school_code,school,is_district_office,school_and_district
2376,Mason,f,Mason - Tacoma
2543,Roy Elementary,f,Roy Elementary - Bethel
2871,Edison,f,Edison - Tacoma
2938,Sherman,f,Sherman - Tacoma
3646,Boze,f,Boze - Tacoma
5708,Ocosta ALE,f,Ocosta ALE - Ocosta
2336,Lyon,f,Lyon - Tacoma
2746,Geiger,f,Geiger - Tacoma
1000,District Office,t,District Office -  Spokane Public Schools
1001,District Office,t,District Office -  Edmonds School District 015
1002,District Office,t,District Office -  Seattle School District 001
1003,District Office,t,District Office -  Highline School District 401
1004,District Office,t,District Office -  Bellevue School District 405
1005,District Office,t,District Office -  Tacoma School District 010
1006,District Office,t,District Office -  Yakima School District 007
1007,District Office,t,District Office -  Everett School District 002
1008,District Office,t,District Office -  Federal Way School District 210
1009,District Office,t,District Office -  Renton School District 403
1010,District Office,t,District Office -  Shoreline School District 412
1011,District Office,t,District Office -  Lake Washington School District 414
1012,District Office,t,District Office -  Kent School District 415
1013,District Office,t,District Office -  Clover Park School District 400
1014,District Office,t,District Office -  Vancouver School District 037
1015,District Office,t,District Office -  Central Valley School District 356
1016,District Office,t,District Office -  Walla Walla School District 140
1017,District Office,t,District Office -  Kennewick School District 017
1018,District Office,t,District Office -  Richland School District 400
1019,District Office,t,District Office -  Pasco School District 001
1020,District Office,t,District Office -  Moses Lake School District 161
1021,District Office,t,District Office -  Wenatchee School District 246
1022,District Office,t,District Office -  Bellingham School District 501
1023,District Office,t,District Office -  Marysville School District 025
1024,District Office,t,District Office -  Mercer Island School District 400
1025,District Office,t,District Office -  Auburn School District 408
1026,District Office,t,District Office -  Issaquah School District 411
1027,District Office,t,District Office -  Northshore School District 417
1028,District Office,t,District Office -  Puyallup School District 003
1029,District Office,t,District Office -  Franklin Pierce School District 402
1030,District Office,t,District Office -  Evergreen School District 114
1031,District Office,t,District Office -  Longview School District 122
1032,District Office,t,District Office -  Kelso School District 458
1033,District Office,t,District Office -  Aberdeen School District 005
1034,District Office,t,District Office -  North Thurston Public Schools
1035,District Office,t,District Office -  Olympia School District 111
1036,District Office,t,District Office -  Port Angeles School District 121
1756,CLIP,f,CLIP - Riverview
1037,District Office,t,District Office -  Bremerton School District 100
1038,District Office,t,District Office -  South Kitsap School District 402
1039,District Office,t,District Office -  Mead School District 354
1040,District Office,t,District Office -  Cheney School District 360
1041,District Office,t,District Office -  West Valley School District 363
1042,District Office,t,District Office -  Pullman School District 267
1043,District Office,t,District Office -  Clarkston School District 250
1044,District Office,t,District Office -  Othello School District 147
1045,District Office,t,District Office -  Ellensburg School District 401
1046,District Office,t,District Office -  Sunnyside School District 201
1047,District Office,t,District Office -  Toppenish School District 202
1048,District Office,t,District Office -  Wapato School District 207
1049,District Office,t,District Office -  West Valley School District 208
1050,District Office,t,District Office -  Eastmont School District 206
1051,District Office,t,District Office -  Oak Harbor School District 201
1052,District Office -  Burlington,t,District Office -  Burlington-Edison School District 100
1053,District Office -  Sedro,t,District Office -  Sedro-Woolley School District 101
1054,District Office,t,District Office -  Anacortes School District 103
1055,District Office,t,District Office -  Mount Vernon School District 320
1056,District Office,t,District Office -  Mukilteo School District 006
1057,District Office,t,District Office -  Snohomish School District 201
1058,District Office,t,District Office -  Tukwila School District 406
1059,District Office,t,District Office -  University Place School District 083
1060,District Office -  Sumner,t,District Office -  Sumner-Bonney Lake School District 320
1061,District Office,t,District Office -  Peninsula School District 401
1062,District Office,t,District Office -  Bethel School District 403
1063,District Office,t,District Office -  Battle Ground School District 119
1064,District Office,t,District Office -  Hoquiam School District 028
1065,District Office,t,District Office -  Chehalis School District 302
1066,District Office,t,District Office -  Centralia School District 401
1067,District Office,t,District Office -  North Kitsap School District 400
1068,District Office,t,District Office -  Central Kitsap School District 401
1069,District Office,t,District Office -  Medical Lake School District 326
1070,District Office,t,District Office -  East Valley School District 361
1071,District Office,t,District Office -  Selah School District 119
1072,District Office,t,District Office -  Grandview School District 200
1073,District Office,t,District Office -  Ferndale School District 502
1074,District Office,t,District Office -  Lake Stevens School District 004
1075,District Office,t,District Office -  Arlington School District 016
1076,District Office,t,District Office -  Monroe School District 103
1077,District Office,t,District Office -  Enumclaw School District 216
1078,District Office,t,District Office -  Tahoma School District 409
1079,District Office,t,District Office -  Snoqualmie Valley School District 410
1080,District Office,t,District Office -  Bainbridge Island School District 303
1081,District Office,t,District Office -  Fife School District 417
1082,District Office,t,District Office -  Camas School District 117
1083,District Office,t,District Office -  Shelton School District 309
1084,District Office,t,District Office -  Tumwater School District 033
1085,District Office,t,District Office -  Deer Park School District 414
1086,District Office,t,District Office -  Colville School District 115
1087,District Office,t,District Office -  Prosser School District 116
1088,District Office,t,District Office -  North Franklin School District 051
1089,District Office,t,District Office -  Quincy School District 144
1090,District Office,t,District Office -  Ephrata School District 165
1091,District Office,t,District Office -  Naches Valley School District 003
1092,District Office,t,District Office -  East Valley School District 090
1093,District Office,t,District Office -  Granger School District 204
1094,District Office,t,District Office -  Cashmere School District 222
1095,District Office,t,District Office -  Omak School District 019
1096,District Office,t,District Office -  Oroville School District 410
1097,District Office,t,District Office -  Blaine School District 503
1098,District Office,t,District Office -  Lynden School District 504
1099,District Office,t,District Office -  Meridian School District 505
1100,District Office,t,District Office -  Nooksack Valley School District 506
1101,District Office,t,District Office -  Mount Baker School District 507
1102,District Office,t,District Office -  Sultan School District 311
1103,District Office -  Stanwood,t,District Office -  Stanwood-Camano School District 401
1104,District Office,t,District Office -  Vashon Island School District 402
1106,District Office,t,District Office -  Eatonville School District 404
1107,District Office,t,District Office -  White River School District 416
1108,District Office -  Washougal School District 112,t,District Office -  Washougal School District 112-6
1109,District Office,t,District Office -  Ridgefield School District 122
1110,District Office,t,District Office -  Castle Rock School District 401
1111,District Office,t,District Office -  Woodland School District 404
1112,District Office,t,District Office -  White Salmon School District 405
1113,District Office,t,District Office -  Montesano School District 066
1114,District Office,t,District Office -  Elma School District 068
1115,District Office,t,District Office -  Raymond School District 116
1116,District Office,t,District Office -  Yelm School District 002
1117,District Office,t,District Office -  Sequim School District 323
1118,District Office,t,District Office -  Quillayute School District 402
1119,District Office,t,District Office -  Port Townsend School District 050
1120,District Office -  Newport School District 056,t,District Office -  Newport School District 056-415
1121,District Office,t,District Office -  Riverside School District 416
1122,District Office,t,District Office -  Chewelah School District 036
1123,District Office,t,District Office -  Colfax School District 300
1124,District Office,t,District Office -  Dayton School District 002
1125,District Office,t,District Office -  Pomeroy School District 110
1126,District Office -  Kiona,t,District Office -  Kiona-Benton City School District 052
1127,District Office,t,District Office -  Royal School District 160
1128,District Office -  Cle Elum,t,District Office -  Cle Elum-Roslyn School District 404
1129,District Office,t,District Office -  Goldendale School District 404
1130,District Office,t,District Office -  Highland School District 203
1131,District Office,t,District Office -  Mount Adams School District 209
1132,District Office,t,District Office -  Cascade School District 228
1133,District Office,t,District Office -  Lake Chelan School District 129
1134,District Office,t,District Office -  Okanogan School District 105
1136,District Office,t,District Office -  Tonasket School District 404
1137,District Office,t,District Office -  South Whidbey School District 206
1138,District Office,t,District Office -  Riverview School District 407
1139,District Office,t,District Office -  Orting School District 344
1140,District Office,t,District Office -  Kalama School District 402
1141,District Office,t,District Office -  Ocean Beach School District 101
1142,District Office -  Stevenson,t,District Office -  Stevenson-Carson School District 303
1143,District Office,t,District Office -  Ocosta School District 172
1144,District Office,t,District Office -  Winlock School District 232
1145,District Office,t,District Office -  Toledo School District 237
1146,District Office,t,District Office -  White Pass School District 303
1147,District Office,t,District Office -  Rochester School District 401
1148,District Office,t,District Office -  Tenino School District 402
1149,District Office,t,District Office -  North Mason School District 403
1150,District Office,t,District Office -  Freeman School District 358
1151,District Office,t,District Office -  Liberty School District 362
1152,District Office,t,District Office -  Kettle Falls School District 212
1153,District Office,t,District Office -  Finley School District 053
1154,District Office,t,District Office -  Ritzville School District 160
1155,District Office,t,District Office -  Grand Coulee Dam School District 301
1156,District Office -  Warden Joint Consolidated School District 146,t,District Office -  Warden Joint Consolidated School District 146-161
1157,District Office,t,District Office -  Mabton School District 120
1158,District Office,t,District Office -  Zillah School District 205
1160,District Office,t,District Office -  Brewster School District 111
1161,District Office,t,District Office -  Coupeville School District 204
1162,District Office,t,District Office -  Concrete School District 011
1163,District Office,t,District Office -  Darrington School District 330
1164,District Office,t,District Office -  Granite Falls School District 332
1165,District Office,t,District Office -  La Center School District 101
1166,District Office -  Naselle,t,District Office -  Naselle-Grays River Valley School District
1167,District Office,t,District Office -  Wahkiakum School District 200
1168,District Office,t,District Office -  North Beach School District 064
1169,District Office,t,District Office -  Mossyrock School District 206
1170,District Office,t,District Office -  Morton School District 214
1171,District Office,t,District Office -  Onalaska School District 300
1172,District Office,t,District Office -  South Bend School District 118
1173,District Office,t,District Office -  Willapa Valley School District 160
1174,District Office,t,District Office -  Cape Flattery School District 401
1175,District Office,t,District Office -  Chimacum School District 049
1176,District Office,t,District Office -  Republic School District 309
1177,District Office,t,District Office -  Odessa School District 105
1178,District Office,t,District Office -  Wilbur School District 200
1179,District Office,t,District Office -  Davenport School District 207
1180,District Office -  Reardan,t,District Office -  Reardan-Edwall School District 009
1181,District Office,t,District Office -  Cusick School District 059
1182,District Office,t,District Office -  Selkirk School District 070
1183,District Office,t,District Office -  Mary Walker School District 207
1184,District Office,t,District Office -  Palouse School District 301
1185,District Office,t,District Office -  Saint John School District 322
1186,District Office,t,District Office -  Columbia School District 400
1187,District Office,t,District Office -  Waitsburg School District 401
1188,District Office,t,District Office -  Lind School District 158
1189,District Office,t,District Office -  Soap Lake School District 156
1190,District Office,t,District Office -  Kittitas School District 403
1191,District Office,t,District Office -  Manson School District 019
1192,District Office,t,District Office -  Entiat School District 127
1193,District Office,t,District Office -  Bridgeport School District 075
1194,District Office,t,District Office -  Waterville School District 209
1195,District Office,t,District Office -  Pateros School District 122
1196,District Office,t,District Office -  Methow Valley School District 350
1197,District Office,t,District Office -  San Juan Island School District 149
1198,District Office,t,District Office -  La Conner School District 311
1199,District Office,t,District Office -  Toutle Lake School District 130
1200,District Office,t,District Office -  Lyle School District 406
1201,District Office,t,District Office -  Lake Quinault School District 097
1202,District Office,t,District Office -  Oakville School District 400
1203,District Office,t,District Office -  Napavine School District 014
1204,District Office,t,District Office -  Pe Ell School District 301
1205,District Office,t,District Office -  Harrington School District 204
1206,District Office,t,District Office -  Columbia School District 206
1207,District Office,t,District Office -  Northport School District 211
1208,District Office,t,District Office -  LaCrosse School District 126
1209,District Office,t,District Office -  Tekoa School District 265
1210,District Office,t,District Office -  Garfield School District 302
1211,District Office,t,District Office -  Colton School District 306
1212,District Office,t,District Office -  Rosalia School District 320
1213,District Office,t,District Office -  Oakesdale School District 324
1214,District Office,t,District Office -  Asotin Anatone School District 420
1215,District Office,t,District Office -  Touchet School District 300
1216,District Office,t,District Office -  Prescott School District 402
1217,District Office,t,District Office -  Washtucna School District 109
1218,District Office,t,District Office -  Coulee Hartline School District 151
1221,District Office,t,District Office -  Klickitat School District 402
1222,District Office,t,District Office -  Adna School District 226
1223,District Office,t,District Office -  Rainier School District 307
1224,District Office,t,District Office -  Crescent School District 313
1907,Port Gardner,f,Port Gardner - Everett
1225,District Office,t,District Office -  Quilcene School District 048
1226,District Office,t,District Office -  Curlew School District 050
1227,District Office,t,District Office -  Inchelium School District 070
1228,District Office -  Sprague,t,District Office -  Sprague-Lamont School District 008
1229,District Office,t,District Office -  Almira School District 017
1230,District Office,t,District Office -  Creston School District 073
1231,District Office,t,District Office -  Wellpinit School District 049
1232,District Office,t,District Office -  Endicott School District 308
1234,District Office,t,District Office -  Kahlotus School District 056
1236,District Office,t,District Office -  Wilson Creek School District 167
1237,District Office,t,District Office -  Easton School District 028
1238,District Office,t,District Office -  Thorp School District 400
1239,District Office,t,District Office -  Bickleton School District 203
1240,District Office,t,District Office -  Mansfield School District 207
1241,District Office,t,District Office -  Lopez Island School District 144
1243,District Office,t,District Office -  Skykomish School District 404
1244,District Office,t,District Office -  Wishram School District 094
1245,District Office,t,District Office -  Trout Lake School District 400
1246,District Office,t,District Office -  Glenwood School District 401
1247,District Office,t,District Office -  Wishkah Valley School District 117
1248,District Office,t,District Office -  Boistfort School District 234
1249,District Office,t,District Office -  Mary M. Knight School District 311
1250,District Office,t,District Office -  North River School District 200
1252,District Office,t,District Office -  College Place School District 250
1253,District Office,t,District Office -  Union Gap School District 002
1254,District Office,t,District Office -  Steilacoom Historical School District 001
1255,District Office,t,District Office -  Hockinson School District 098
1256,District Office,t,District Office -  Hood Canal School District 404
1257,District Office,t,District Office -  Dieringer School District 343
1258,District Office,t,District Office -  Lakewood School District 306
1260,District Office,t,District Office -  Nine Mile Falls School District 325
1261,District Office,t,District Office -  Benge School District 122
1262,District Office,t,District Office -  Paterson School District 050
1263,District Office,t,District Office -  Stehekin School District 069
1264,District Office,t,District Office -  Green Mountain School District 103
1265,District Office,t,District Office -  Starbuck School District 035
1267,District Office,t,District Office -  Orondo School District 013
1268,District Office,t,District Office -  Palisades School District 102
1269,District Office,t,District Office -  Keller School District 003
1271,District Office,t,District Office -  Orient School District 065
1272,District Office,t,District Office -  Star School District 054
1273,District Office,t,District Office -  Wahluke School District 073
1274,District Office,t,District Office -  McCleary School District 065
1275,District Office,t,District Office -  Taholah School District 077
1276,District Office,t,District Office -  Cosmopolis School District 099
1277,District Office,t,District Office -  Satsop School District 104
1278,District Office -  Queets,t,District Office -  Queets-Clearwater School District 020
1279,District Office,t,District Office -  Brinnon School District 046
1280,District Office,t,District Office -  Damman School District 007
1281,District Office,t,District Office -  Centerville School District 215
1282,District Office,t,District Office -  Roosevelt School District 403
1284,District Office,t,District Office -  Evaline School District 036
1285,District Office,t,District Office -  Southside School District 042
1286,District Office,t,District Office -  Grapeview School District 054
1287,District Office,t,District Office -  Pioneer School District 402
1288,District Office,t,District Office -  Nespelem School District 014
1289,District Office,t,District Office -  Carbonado Historical School District 019
1290,District Office,t,District Office -  Shaw Island School District 010
1291,District Office,t,District Office -  Conway School District 317
1292,District Office,t,District Office -  Skamania School District 002
1293,District Office -  Mount Pleasant School District 029,t,District Office -  Mount Pleasant School District 029-93
1294,District Office,t,District Office -  Mill A School District 031
1295,District Office,t,District Office -  Index School District 063
1296,District Office,t,District Office -  Orchard Prairie School District 123
1297,District Office,t,District Office -  Great Northern School District 312
1298,District Office,t,District Office -  Onion Creek School District 030
1299,District Office,t,District Office -  Valley School District 070
1300,District Office,t,District Office -  Loon Lake School District 183
1301,District Office,t,District Office -  Summit Valley School District 202
1302,District Office,t,District Office -  Evergreen School District 205
1303,District Office,t,District Office -  Griffin School District 324
1304,District Office,t,District Office -  Dixie School District 101
1305,District Office,t,District Office -  Lamont School District 264
1306,District Office,t,District Office -  Steptoe School District 304
1312,District Office,t,District Office -  Chief Leschi Tribal
1325,District Office,t,District Office -  Rainier Valley Leadership Academy
1327,District Office,t,District Office -  Impact Public Schools (Puget Sound Elementary)
1329,District Office,t,District Office -  Lummi Tribal Agency
1330,District Office,t,District Office -  Muckleshoot Indian Tribe
1335,District Office,t,District Office -  Orcas Island School District 137
1336,District Office,t,District Office - Innovation Spokane (PRIDE) Charter
1338,District Office,t,District Office -  Quileute Tribal School
1339,District Office,t,District Office -  Rainier Prep Charter School District
1344,District Office,t,District Office -  Spokane International Academy
1345,District Office,t,District Office -  Summit Public School: Atlas
1346,District Office,t,District Office -  Summit Public School: Olympus
1347,District Office,t,District Office -  Summit Public School: Sierra
1348,District Office,t,District Office -  Suquamish Tribal Education Department
1350,District Office,t,District Office -  WA HE LUT Indian School Agency
1356,District Office,t,District Office -  Yakama Nation Tribal Compact
1357,District Office,t,District Office -  Catalyst Charter
1358,District Office,t,District Office -  Why Not You Academy
1359,District Office,t,District Office -  Impact—Salish Sea Elementary
1360,District Office,t,District Office -  Lumens High School
1361,District Office,t,District Office -  Whatcom Intergenerational
1362,District Office,t,District Office -  Pinnacle Prep Charter
1363,District Office -  Impact-,t,District Office -  Impact--Commencement Bay Elementary
1364,District Office,t,District Office - Pullman Community Montessori
1365,District Office,t,District Office - Rooted School Washington
1366,District Office,t,District Office - Paschal Sherman Tribal
1367,District Office,t,District Office - Impact | Black River Elementary
1500,Forks Alternative School,t,Forks Alternative School - Quillayute Valley
1502,Two Rivers School,f,Two Rivers School - Snoqualmie Valley
1506,Quincy High Tech High,f,Quincy High Tech High - Quincy
1508,Computer Academy Toppenish High School,f,Computer Academy Toppenish High School - Toppenish
1510,Challenger High School,f,Challenger High School - Bethel
1514,Alternative Spcl Needs Div Occ,f,Alternative Spcl Needs Div Occ - Tacoma
1516,Henderson Bay Alt High School,f,Henderson Bay Alt High School - Peninsula
1518,RISE Academy,f,RISE Academy - Soap Lake
1519,Edmonds eLearning Academy,f,Edmonds eLearning Academy - Edmonds
1520,Challenge Elementary,f,Challenge Elementary - Edmonds
1523,Special Ed School,f,Special Ed School - Enumclaw
1528,Excelsior High School,f,Excelsior High School - Washougal
1530,Early Childhood Center,f,Early Childhood Center - Evergreen (Clark)
1533,A-3 Multiagency Adolescent Prog,f,A-3 Multiagency Adolescent Prog - Spokane
1534,Griffin Home,f,Griffin Home - Renton
1537,State Street High School,f,State Street High School - Sedro Woolley
1539,CHOICE Academy,f,CHOICE Academy - Highline
1547,Middle College High School,f,Middle College High School - Seattle
1554,Riverside Achievement Center,f,Riverside Achievement Center - Riverside
1558,Unassigned School,f,Unassigned School - Edmonds
1559,Lewis County Juvenile Detention,f,Lewis County Juvenile Detention - Chehalis
1560,Thompson Preschool,f,Thompson Preschool - Bethel
1566,Alternative Northeast Community Center Preschool,f,Alternative Northeast Community Center Preschool - Spokane
1567,Pratt Academy,f,Pratt Academy - Spokane
1570,Monroe Special Ed Preschool,f,Monroe Special Ed Preschool - Monroe
1574,Fir Grove Childrens Center,f,Fir Grove Childrens Center - Vancouver
1579,Tops K-8 School,f,Tops K-8 School - Seattle
1585,Comm Based Trans Program,f,Comm Based Trans Program - Tacoma
1594,Panorama School,f,Panorama School - Colville
1596,Seattle World School,f,Seattle World School - Seattle
1597,Homelink Schools,f,Homelink Schools - Battle Ground
1603,Daybreak Alternative School,f,Daybreak Alternative School - Spokane
1604,Alternative Tamarack School,f,Alternative Tamarack School - Spokane
1605,Twin Cedars High School,f,Twin Cedars High School - Concrete
1612,Skill Source,f,Skill Source - Wenatchee
1613,Westside High School,f,Westside High School - Wenatchee
1617,Educational Opportunity Center,f,Educational Opportunity Center - Clarkston
1620,Pathfinder K-8 School,f,Pathfinder K-8 School - Seattle
1621,ILC Choice School,f,ILC Choice School - Methow Valley
1624,Issaquah Special Services,f,Issaquah Special Services - Issaquah
1627,Yelm Extension School,f,Yelm Extension School - Yelm
1628,Dishman Hills High School,f,Dishman Hills High School - West Valley (Spok
1629,East Grays Harbor High School,f,East Grays Harbor High School - Elma
1635,Interagency Programs,f,Interagency Programs - Seattle
1640,Puyallup Online Academy/POA,f,Puyallup Online Academy/POA - Puyallup
1643,Out Of District Special Ed,f,Out Of District Special Ed - Monroe
1645,Compass High School,f,Compass High School - Grandview
1646,49th Street Academy,f,49th Street Academy - Evergreen (Clark)
1647,Options High School,f,Options High School - Bellingham
1648,Out Of District Facility,f,Out Of District Facility - Renton
1649,Contractual Schools,f,Contractual Schools - Lake Washington
1650,BECC,f,BECC - Burlington Edison
1656,10th Street School,f,10th Street School - Marysville
1657,Heritage School,f,Heritage School - Marysville
1658,Discovery School,f,Discovery School - Lake Washington
1663,NW Learning Center,f,NW Learning Center - Everett
1667,Handicapped Contractual Services,f,Handicapped Contractual Services - Shoreline
1668,Transition Program,f,Transition Program - Bellevue
1670,Student Services School,f,Student Services School - Sultan
1671,District Run Home School,f,District Run Home School - Quillayute Valley
1672,Developmental Preschool,f,Developmental Preschool - Raymond
1675,Lake Chelan Preschool,f,Lake Chelan Preschool - Lake Chelan
1677,Special Programs,f,Special Programs - North Kitsap
1680,James A. Taylor High School,f,James A. Taylor High School - North Mason
1682,South Whidbey Academy,f,South Whidbey Academy - South Whidbey
1683,South Whidbey Special Services,f,South Whidbey Special Services - South Whidbey
1685,Maplewood Parent Coop,f,Maplewood Parent Coop - Edmonds
1687,Explorer Community School,f,Explorer Community School - Lake Washington
1688,Emerson K-12,f,Emerson K-12 - Lake Washington
1689,Vancouver School of Arts and Academics,f,Vancouver School of Arts and Academics - Vancouver
1694,Home Port Learning Center,f,Home Port Learning Center - Bellingham
1698,SCCP Images,f,SCCP Images - Spokane
1699,Odyssey Multiage Program,f,Odyssey Multiage Program - Bainbridge
1706,International Community School,f,International Community School - Lake Washington
1707,Lincoln Hill High School,f,Lincoln Hill High School - Stanwood
1708,Olympic Peninsula Academy,f,Olympic Peninsula Academy - Sequim
1709,Chewelah Alternative,f,Chewelah Alternative - Chewelah
1712,Continuous Curriculum School,f,Continuous Curriculum School - East Valley (Spok
1713,Cascadia High School,f,Cascadia High School - Tumwater
1714,Stillaguamish Valley Learning Center,f,Stillaguamish Valley Learning Center - Arlington
1715,Parents As Partners,f,Parents As Partners - Port Angeles
1718,Explorer Academy,f,Explorer Academy - South Kitsap
1724,PI Program,f,PI Program - Chimacum
1728,Prosser Falls Education Center,f,Prosser Falls Education Center - Prosser
1730,Snohomish Center,f,Snohomish Center - Snohomish
1733,Parent Assisted Learning,f,Parent Assisted Learning - North Kitsap
1735,H.e.a.r.t. High School,f,H.e.a.r.t. High School - Rochester
1737,Renaissance Alternative High School,f,Renaissance Alternative High School - Bremerton
1738,Gate Program,f,Gate Program - Vancouver
1740,Off Campus,f,Off Campus - Central Kitsap
1742,Valley Academy Of Learning,f,Valley Academy Of Learning - Wenatchee
1743,Meridian Special Programs,f,Meridian Special Programs - Meridian
1744,School Home Partnership Program,f,School Home Partnership Program - Marysville
1749,Bremerton Home Link Program,f,Bremerton Home Link Program - Bremerton
1751,Cascade Parent Partnership Program,f,Cascade Parent Partnership Program - Seattle
1753,Homelink,f,Homelink - Lake Stevens
1754,Palouse Junction High School,f,Palouse Junction High School - North Franklin
1755,West Valley City School,f,West Valley City School - West Valley (Spok
1757,Snohomish Online Learning,f,Snohomish Online Learning - Snohomish
1758,Homeconnection,f,Homeconnection - Oak Harbor
1759,Internet Academy,f,Internet Academy - Federal Way
1762,Skagit River School House,f,Skagit River School House - Concrete
1763,Quartzite Learning,f,Quartzite Learning - Chewelah
1765,Preschool - Stevenson,f,Preschool - Stevenson-Carson
1767,The Healing Lodge,f,The Healing Lodge - Spokane
1768,Avanti High School,f,Avanti High School - Olympia
1769,Three Springs High School,f,Three Springs High School - Cheney
1771,Home Education Exchange,f,Home Education Exchange - Shoreline
1772,HomeLink,f,HomeLink - Walla Walla
1776,Contract Learning Center,f,Contract Learning Center - Grandview
1777,Sky Valley Education Center,f,Sky Valley Education Center - Monroe
1781,Sumner Special Services,f,Sumner Special Services - Sumner
1784,H.O.M.E. Program,f,H.O.M.E. Program - Renton
1787,Cape Flattery Preschool,f,Cape Flattery Preschool - Cape Flattery
1789,Federal Way Public Academy,f,Federal Way Public Academy - Federal Way
1790,University Place Special Educ,f,University Place Special Educ - University Place
1795,TEAM High School,f,TEAM High School - Woodland
1796,Salmon Bay K-8 School,f,Salmon Bay K-8 School - Seattle
1797,Day Reporting School,f,Day Reporting School - Tacoma
1798,OCEAN,f,OCEAN - Port Townsend
1799,Visions (Seamar Youth Center),f,Visions (Seamar Youth Center) - Bellingham
1800,Environmental & Adventure School,f,Environmental & Adventure School - Lake Washington
1801,iQ Academy Washington,f,iQ Academy Washington - Evergreen (Clark)
1802,Chelan County Juvenile Detention Center,f,Chelan County Juvenile Detention Center - Wenatchee
1803,Mead Alternative High School,f,Mead Alternative High School - Mead
1804,Futures School,f,Futures School - Lake Washington
1806,Leaders In Learning,f,Leaders In Learning - Monroe
1807,Regional Justice Center,f,Regional Justice Center - Kent
1810,Sno Co Jail,f,Sno Co Jail - Everett
1811,Pass Program,f,Pass Program - ESD 189
1814,Northshore Networks,f,Northshore Networks - Northshore
1815,Northshore Special Services,f,Northshore Special Services - Northshore
1819,Parent Partner Program,f,Parent Partner Program - Mary Walker
1820,Mary Walker Alternative High Schl,f,Mary Walker Alternative High Schl - Mary Walker
1822,Family Link,f,Family Link - Vashon Island
1823,Nooksack Valley Special Services,f,Nooksack Valley Special Services - Nooksack Valley
1825,Alfaretta House,f,Alfaretta House - Clover Park
1829,Winolequa Learning Academy,f,Winolequa Learning Academy - Winlock
1830,Contracted Schools,f,Contracted Schools - Edmonds
1831,Toppenish Pre School,f,Toppenish Pre School - Toppenish
1833,Davenport Alternative Learning Ct,f,Davenport Alternative Learning Ct - Davenport
1835,Sentinel Tech Alt School,f,Sentinel Tech Alt School - Wahluke
1836,CAM Academy,f,CAM Academy - Battle Ground
1838,Spokane Valley High School,f,Spokane Valley High School - West Valley (Spok
1841,Mosaic Home Education Partnership,f,Mosaic Home Education Partnership - Bainbridge
1842,Spokane Valley Transition School,f,Spokane Valley Transition School - West Valley (Spok
1845,Home School Experience,f,Home School Experience - Methow Valley
1848,Special Services,f,Special Services - Mukilteo
1851,Wellpinit Alliance High School,f,Wellpinit Alliance High School - Wellpinit
1852,Deer Park Home Link Program,f,Deer Park Home Link Program - Deer Park
1854,PARADE,f,PARADE - Riverview
1856,The Center School,f,The Center School - Seattle
1857,Springdale Academy,f,Springdale Academy - Mary Walker
1858,Mead Education Partnership Prog,f,Mead Education Partnership Prog - Mead
1860,Tacoma School of the Arts,f,Tacoma School of the Arts - Tacoma
1861,North Mason Homelink Program,f,North Mason Homelink Program - North Mason
1862,Marysville Coop Program,f,Marysville Coop Program - Marysville
1875,Homelink River,f,Homelink River - Battle Ground
1880,Re-Entry High School,f,Re-Entry High School - Clover Park
1881,Re-Entry Middle School,f,Re-Entry Middle School - Clover Park
1882,Special Education Services/relife,f,Special Education Services/relife - Clover Park
1884,Legacy High School,f,Legacy High School - Kennewick
1888,Mason County Detention Center,f,Mason County Detention Center - Shelton
1889,Connell Preschool,f,Connell Preschool - North Franklin
1892,OASIS K-12,f,OASIS K-12 - Orcas
1895,ECEAP,f,ECEAP - Marysville
1897,Special Education,f,Special Education - Port Angeles
1898,Republic Parent Partner,f,Republic Parent Partner - Republic
1899,Washougal Special Services,f,Washougal Special Services - Washougal
1900,Bridgeport Aurora High School,f,Bridgeport Aurora High School - Bridgeport
1902,Raymond Home Link School,f,Raymond Home Link School - Raymond
1904,Parent Partnership,f,Parent Partnership - Snohomish
1905,Cooperatives,f,Cooperatives - Anacortes
1910,Marysville SD Special,f,Marysville SD Special - Marysville
1911,Wellpinit - Fort Semco High School,f,Wellpinit - Fort Semco High School - Wellpinit
1914,Lynden Special Services,f,Lynden Special Services - Lynden
1915,Special Ed School,f,Special Ed School - Auburn
1919,Independent Scholar,f,Independent Scholar - Riverside
1921,Curlew Parent Partner,f,Curlew Parent Partner - Curlew
1922,Loon Lake Homelink Program,f,Loon Lake Homelink Program - Loon Lake
1924,Ellensburg Developmental Preschool,f,Ellensburg Developmental Preschool - Ellensburg
1925,Trojan Alternative School,f,Trojan Alternative School - Pe Ell
1926,Home Choice Academy,f,Home Choice Academy - Evergreen (Clark)
1927,Legacy High School,f,Legacy High School - Marysville
1928,Burlington-Edison Alternative School,f,Burlington-Edison Alternative School - Burlington Edison
1932,Columbia Virtual Academy,f,Columbia Virtual Academy - Valley
1934,Loowit High School,f,Loowit High School - Kelso
1935,Eagle Harbor High School,f,Eagle Harbor High School - Bainbridge
1936,Educational Resource Center,f,Educational Resource Center - Mount Baker
1937,Children First,f,Children First - East Valley (Spok
1938,Student Link,f,Student Link - Vashon Island
1939,Bainbridge Special Education Services,f,Bainbridge Special Education Services - Bainbridge
1940,Chelan School of Innovation,f,Chelan School of Innovation - Lake Chelan
1941,Mid-Columbia Parent Partnership,f,Mid-Columbia Parent Partnership - Kennewick
