school_code,school,is_district_office,school_and_district
5049,Sierra Vista Middle School,f,Sierra Vista Middle School - Sunnyside
5051,Lakeland Hills Elementary,f,Lakeland Hills Elementary - Auburn
5052,Ridgeline Middle School,f,Ridgeline Middle School - Yelm
5053,Rosa Parks Elementary,f,Rosa Parks Elementary - Lake Washington
5054,Liberty Middle School,f,Liberty Middle School - Camas
5055,Papermaker Preschool,f,Papermaker Preschool - Camas
5056,Grand Ridge Elementary,f,Grand Ridge Elementary - Issaquah
5057,Renaissance School,f,Renaissance School - Lake Washington
5058,Good Beginnings Center,f,Good Beginnings Center - Sedro Woolley
5059,Island Juvenile Detention Education Program,f,Island Juvenile Detention Education Program - Coupeville
5062,Issaquah ECEAP,f,Issaquah ECEAP - Issaquah
5063,Academy of Citizenship and Empowerment,f,Academy of Citizenship and Empowerment - Highline
5064,Global Connections High School,f,Global Connections High School - Highline
5066,Helen B. Stafford Elementary,f,Helen B. Stafford Elementary - Tacoma
5068,Central Valley Kindergarten Center,f,Central Valley Kindergarten Center - Central Valley
5070,Renton Academy,f,Renton Academy - Renton
5071,Insight School of Washington,f,Insight School of Washington - Quillayute Valley
5072,Madrona Heights PreSchool Program,f,Madrona Heights PreSchool Program - South Kitsap
5073,Quest,f,Quest - Puyallup
5075,Selkirk Elementary,f,Selkirk Elementary - Selkirk
5076,Special Education,f,Special Education - Kelso
5077,White Salmon Academy,f,White Salmon Academy - White Salmon
5078,Olympia Regional Learning Academy,f,Olympia Regional Learning Academy - Olympia
5079,Eatonville Developmental Pre-School,f,Eatonville Developmental Pre-School - Eatonville
5081,Crossroads Community School,f,Crossroads Community School - Quilcene
5082,Arthur Jacobsen Elementary,f,Arthur Jacobsen Elementary - Auburn
5084,Ferndale Special Services,f,Ferndale Special Services - Ferndale
5085,Kingston High School,f,Kingston High School - North Kitsap
5086,Kittitas B-5 Special Ed Program,f,Kittitas B-5 Special Ed Program - Kittitas
5087,Special Services School,f,Special Services School - Concrete
5088,Carson Elementary,f,Carson Elementary - Puyallup
5089,Daybreak Middle,f,Daybreak Middle - Battle Ground
5090,Daybreak Primary,f,Daybreak Primary - Battle Ground
5091,Forest View Elementary School,f,Forest View Elementary School - Everett
5092,White Bluffs Elementary School,f,White Bluffs Elementary School - Richland
5093,Edgerton Elementary,f,Edgerton Elementary - Puyallup
