old_name,new_name,note
hc_Reading_1_Fall_Average of RITScore,map_hc_reading_g1_fall_rit_avg,
hc_Reading_1_Spring_Average of RITScore,map_hc_reading_g1_spring_rit_avg,
hc_Reading_8_Spring_Average of RITScore,map_hc_reading_g8_spring_rit_avg,
hc_Reading_7_Spring_Average of RITScore,map_hc_reading_g7_spring_rit_avg,
hc_Reading_6_Fall_Average of RITScore,map_hc_reading_g6_fall_rit_avg,
hc_Reading_6_Spring_Average of RITScore,map_hc_reading_g6_spring_rit_avg,
hc_Reading_8_Fall_Average of RITScore,map_hc_reading_g8_fall_rit_avg,
hc_Reading_7_Fall_Average of RITScore,map_hc_reading_g7_fall_rit_avg,
hc_Mathematics_1_Spring_StdDev of RITScore,map_hc_math_g1_spring_rit_sd,
hc_Mathematics_5_Spring_StdDev of RITScore,map_hc_math_g5_spring_rit_sd,
hc_Reading_5_Spring_StdDev of RITScore,map_hc_reading_g5_spring_rit_sd,
hc_Mathematics_4_Fall_StdDev of RITScore,map_hc_math_g4_fall_rit_sd,
hc_Mathematics_5_Fall_StdDev of RITScore,map_hc_math_g5_fall_rit_sd,
hc_Reading_5_Fall_StdDev of RITScore,map_hc_reading_g5_fall_rit_sd,
hc_Mathematics_8_Spring_StdDev of RITScore,map_hc_math_g8_spring_rit_sd,
hc_Mathematics_7_Spring_StdDev of RITScore,map_hc_math_g7_spring_rit_sd,
hc_Mathematics_4_Spring_StdDev of RITScore,map_hc_math_g4_spring_rit_sd,
hc_Mathematics_6_Fall_StdDev of RITScore,map_hc_math_g6_fall_rit_sd,
hc_Mathematics_8_Fall_StdDev of RITScore,map_hc_math_g8_fall_rit_sd,
hc_Mathematics_6_Spring_StdDev of RITScore,map_hc_math_g6_spring_rit_sd,
hc_Mathematics_7_Fall_StdDev of RITScore,map_hc_math_g7_fall_rit_sd,
hc_Mathematics_3_Spring_StdDev of RITScore,map_hc_math_g3_spring_rit_sd,
hc_Mathematics_3_Fall_StdDev of RITScore,map_hc_math_g3_fall_rit_sd,
hc_Reading_4_Fall_StdDev of RITScore,map_hc_reading_g4_fall_rit_sd,
hc_Reading_3_Fall_StdDev of RITScore,map_hc_reading_g3_fall_rit_sd,
hc_Reading_3_Spring_StdDev of RITScore,map_hc_reading_g3_spring_rit_sd,
hc_Reading_2_Fall_StdDev of RITScore,map_hc_reading_g2_fall_rit_sd,
hc_Reading_4_Spring_StdDev of RITScore,map_hc_reading_g4_spring_rit_sd,
hc_Mathematics_1_Fall_StdDev of RITScore,map_hc_math_g1_fall_rit_sd,
hc_Mathematics_2_Spring_StdDev of RITScore,map_hc_math_g2_spring_rit_sd,
hc_Reading_2_Spring_StdDev of RITScore,map_hc_reading_g2_spring_rit_sd,
hc_Mathematics_2_Fall_StdDev of RITScore,map_hc_math_g2_fall_rit_sd,
hc_Reading_1_Fall_StdDev of RITScore,map_hc_reading_g1_fall_rit_sd,
hc_Reading_1_Spring_StdDev of RITScore,map_hc_reading_g1_spring_rit_sd,
hc_Reading_8_Spring_StdDev of RITScore,map_hc_reading_g8_spring_rit_sd,
hc_Reading_7_Spring_StdDev of RITScore,map_hc_reading_g7_spring_rit_sd,
hc_Reading_6_Fall_StdDev of RITScore,map_hc_reading_g6_fall_rit_sd,
hc_Reading_6_Spring_StdDev of RITScore,map_hc_reading_g6_spring_rit_sd,
hc_Reading_8_Fall_StdDev of RITScore,map_hc_reading_g8_fall_rit_sd,
hc_Reading_7_Fall_StdDev of RITScore,map_hc_reading_g7_fall_rit_sd,
nonhc_Mathematics_1_Fall_Average RIT Score,map_nonhc_math_g1_fall_rit_avg,
nonhc_Reading_1_Fall_Average RIT Score,map_nonhc_reading_g1_fall_rit_avg,
nonhc_Mathematics_1_Spring_Average RIT Score,map_nonhc_math_g1_spring_rit_avg,
nonhc_Reading_1_Spring_Average RIT Score,map_nonhc_reading_g1_spring_rit_avg,
nonhc_Mathematics_2_Fall_Average RIT Score,map_nonhc_math_g2_fall_rit_avg,
nonhc_Reading_2_Fall_Average RIT Score,map_nonhc_reading_g2_fall_rit_avg,
nonhc_Mathematics_2_Spring_Average RIT Score,map_nonhc_math_g2_spring_rit_avg,
nonhc_Reading_2_Spring_Average RIT Score,map_nonhc_reading_g2_spring_rit_avg,
nonhc_Mathematics_3_Fall_Average RIT Score,map_nonhc_math_g3_fall_rit_avg,
nonhc_Reading_3_Fall_Average RIT Score,map_nonhc_reading_g3_fall_rit_avg,
nonhc_Mathematics_3_Spring_Average RIT Score,map_nonhc_math_g3_spring_rit_avg,
nonhc_Reading_3_Spring_Average RIT Score,map_nonhc_reading_g3_spring_rit_avg,
nonhc_Mathematics_4_Fall_Average RIT Score,map_nonhc_math_g4_fall_rit_avg,
nonhc_Reading_4_Fall_Average RIT Score,map_nonhc_reading_g4_fall_rit_avg,
nonhc_Mathematics_4_Spring_Average RIT Score,map_nonhc_math_g4_spring_rit_avg,
nonhc_Reading_4_Spring_Average RIT Score,map_nonhc_reading_g4_spring_rit_avg,
nonhc_Mathematics_5_Fall_Average RIT Score,map_nonhc_math_g5_fall_rit_avg,
nonhc_Reading_5_Fall_Average RIT Score,map_nonhc_reading_g5_fall_rit_avg,
nonhc_Mathematics_5_Spring_Average RIT Score,map_nonhc_math_g5_spring_rit_avg,
nonhc_Reading_5_Spring_Average RIT Score,map_nonhc_reading_g5_spring_rit_avg,
nonhc_Mathematics_6_Fall_Average RIT Score,map_nonhc_math_g6_fall_rit_avg,
nonhc_Reading_6_Fall_Average RIT Score,map_nonhc_reading_g6_fall_rit_avg,
nonhc_Mathematics_6_Spring_Average RIT Score,map_nonhc_math_g6_spring_rit_avg,
nonhc_Mathematics_7_Fall_Average RIT Score,map_nonhc_math_g7_fall_rit_avg,
nonhc_Reading_7_Fall_Average RIT Score,map_nonhc_reading_g7_fall_rit_avg,
nonhc_Mathematics_7_Spring_Average RIT Score,map_nonhc_math_g7_spring_rit_avg,
nonhc_Mathematics_8_Fall_Average RIT Score,map_nonhc_math_g8_fall_rit_avg,
nonhc_Reading_8_Fall_Average RIT Score,map_nonhc_reading_g8_fall_rit_avg,
nonhc_Mathematics_8_Spring_Average RIT Score,map_nonhc_math_g8_spring_rit_avg,
nonhc_Reading_8_Spring_Average RIT Score,map_nonhc_reading_g8_spring_rit_avg,
nonhc_Reading_6_Spring_Average RIT Score,map_nonhc_reading_g6_spring_rit_avg,
nonhc_Reading_7_Spring_Average RIT Score,map_nonhc_reading_g7_spring_rit_avg,
nonhc_Mathematics_1_Fall_Std Deviation,map_nonhc_math_g1_fall_rit_sd,
nonhc_Reading_1_Fall_Std Deviation,map_nonhc_reading_g1_fall_rit_sd,
nonhc_Mathematics_1_Spring_Std Deviation,map_nonhc_math_g1_spring_rit_sd,
nonhc_Reading_1_Spring_Std Deviation,map_nonhc_reading_g1_spring_rit_sd,
nonhc_Mathematics_2_Fall_Std Deviation,map_nonhc_math_g2_fall_rit_sd,
nonhc_Reading_2_Fall_Std Deviation,map_nonhc_reading_g2_fall_rit_sd,
nonhc_Mathematics_2_Spring_Std Deviation,map_nonhc_math_g2_spring_rit_sd,
nonhc_Reading_2_Spring_Std Deviation,map_nonhc_reading_g2_spring_rit_sd,
nonhc_Mathematics_3_Fall_Std Deviation,map_nonhc_math_g3_fall_rit_sd,
nonhc_Reading_3_Fall_Std Deviation,map_nonhc_reading_g3_fall_rit_sd,
nonhc_Mathematics_3_Spring_Std Deviation,map_nonhc_math_g3_spring_rit_sd,
nonhc_Reading_3_Spring_Std Deviation,map_nonhc_reading_g3_spring_rit_sd,
nonhc_Mathematics_4_Fall_Std Deviation,map_nonhc_math_g4_fall_rit_sd,
nonhc_Reading_4_Fall_Std Deviation,map_nonhc_reading_g4_fall_rit_sd,
nonhc_Mathematics_4_Spring_Std Deviation,map_nonhc_math_g4_spring_rit_sd,
nonhc_Reading_4_Spring_Std Deviation,map_nonhc_reading_g4_spring_rit_sd,
nonhc_Mathematics_5_Fall_Std Deviation,map_nonhc_math_g5_fall_rit_sd,
nonhc_Reading_5_Fall_Std Deviation,map_nonhc_reading_g5_fall_rit_sd,
