old_name,new_name,note
spend_grp_title1_lap_ble,spend_grp_title1_lap_ble_per_pupil,
OtherSchool,type_other,
K-8,type_k8,
Highschool,type_highschool,
Middle,type_middle,
Elementary,type_elementary,
r_Invalid,region_invalid,
r_NW,region_nw,
r_NE,region_ne,
r_Central,region_central,
r_SW,region_sw,
r_SE,region_se,
r_Other,region_other,
m_Meany,ms_meany,
m_Eckstein,ms_eckstein,
m_JaneAddams,ms_jane_addams,
m_Hamilton,ms_hamilton,
m_McClure,ms_mcclure,
m_RESMS,ms_resms,
m_Whitman,ms_whitman,
m_AkiKurose,ms_aki_kurose,
m_Mercer,ms_mercer,
m_Washington,ms_washington,
m_Denny,ms_denny,
m_Madison,ms_madison,
hc_Mathematics_1_Spring_Average of RITScore,map_hc_math_g1_spring_rit_avg,
hc_Mathematics_5_Spring_Average of RITScore,map_hc_math_g5_spring_rit_avg,
hc_Reading_5_Spring_Average of RITScore,map_hc_reading_g5_spring_rit_avg,
hc_Mathematics_4_Fall_Average of RITScore,map_hc_math_g4_fall_rit_avg,
hc_Mathematics_5_Fall_Average of RITScore,map_hc_math_g5_fall_rit_avg,
hc_Reading_5_Fall_Average of RITScore,map_hc_reading_g5_fall_rit_avg,
hc_Mathematics_8_Spring_Average of RITScore,map_hc_math_g8_spring_rit_avg,
hc_Mathematics_7_Spring_Average of RITScore,map_hc_math_g7_spring_rit_avg,
hc_Mathematics_4_Spring_Average of RITScore,map_hc_math_g4_spring_rit_avg,
hc_Mathematics_6_Fall_Average of RITScore,map_hc_math_g6_fall_rit_avg,
hc_Mathematics_8_Fall_Average of RITScore,map_hc_math_g8_fall_rit_avg,
hc_Mathematics_6_Spring_Average of RITScore,map_hc_math_g6_spring_rit_avg,
hc_Mathematics_7_Fall_Average of RITScore,map_hc_math_g7_fall_rit_avg,
hc_Mathematics_3_Spring_Average of RITScore,map_hc_math_g3_spring_rit_avg,
hc_Mathematics_3_Fall_Average of RITScore,map_hc_math_g3_fall_rit_avg,
hc_Reading_4_Fall_Average of RITScore,map_hc_reading_g4_fall_rit_avg,
hc_Reading_3_Fall_Average of RITScore,map_hc_reading_g3_fall_rit_avg,
hc_Reading_3_Spring_Average of RITScore,map_hc_reading_g3_spring_rit_avg,
hc_Reading_2_Fall_Average of RITScore,map_hc_reading_g2_fall_rit_avg,
hc_Reading_4_Spring_Average of RITScore,map_hc_reading_g4_spring_rit_avg,
hc_Mathematics_1_Fall_Average of RITScore,map_hc_math_g1_fall_rit_avg,
hc_Mathematics_2_Spring_Average of RITScore,map_hc_math_g2_spring_rit_avg,
hc_Reading_2_Spring_Average of RITScore,map_hc_reading_g2_spring_rit_avg,
hc_Mathematics_2_Fall_Average of RITScore,map_hc_math_g2_fall_rit_avg,
